SL.no,Date,Zone,Scope,Engineer,Project,BOQ,Subproduct-Description,Typology,Batch Qty,CL No,PI NO,Actual Qty,HO Qty,Actual Sqm,HO Sqm
71,03/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-207,PI/01851,1,0,10.938246,0
72,03/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-220,PI/01851,1,0,14.6929475,0
73,03/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-175,PI/01851,0,0,0,0
74,03/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW05-AL-043,PI/01746,0,7,0,88.700535
75,03/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW10A-AL-036,PI/01746,0,7,0,37.83520125
76,03/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW04A-AL-047,PI/01746,0,7,0,90.4936725
77,03/06/2025,Navy Blue,WW/SCW,Thangavel,CG,Curtain Wall,Curtain Wall - Frames,0,6,CG-ENT-CW-AL-001,PI/01830,0,1,0,5.94
78,03/06/2025,Navy Blue,WW/SCW,Thangavel,A11,Curtain Wall,Curtain Wall - Frames,0,371,A11-CW03-FS-AL-001,PI/01751,0,60,0,287.232
79,03/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,51,S1(P3)-CW-CL-212,PI/01331,0,1,0,15.1135875
80,03/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-199,PI/01851,0,1,0,14.838516
81,03/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,76,S1(P2)-CW-CL-236,PI/01741,0,1,0,12.45234375
82,03/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-202,PI/01851,0,1,0,13.259169
83,03/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-383,PI/01851,0,1,0,8.042265
84,03/06/2025,Brown,NON-SYSTEM,Sunner,A10,F Channel,F Channel,0,226,A10-GB-ACL-002,PI/01410,0,110,0,121.0968
85,03/06/2025,Brown,NON-SYSTEM,Sunner,H2V,Fence,Swimming Pool Fence,0,13,1036-5C-SPF-AL-003,PI/01893,13,0,10.75,0
86,03/06/2025,Brown,NON-SYSTEM,Sunner,A10,F Channel,F Channel,0,226,A10-GB-ACL-002,PI/01410,89,0,97.97832,0
87,03/06/2025,Green,Doors,Rakesh,Sobha One,Hinge Door,Outer,0,449,S1-H-CL-09,PI/00618 & PI/00630,0,38,0,53.19
88,03/06/2025,Green,Doors,Rakesh,JLT,LSD,Shutter,0,120,JLT-LSD2-AL-005 & JLT-LSD1-AL-003,PI/01835,20,10,7.82,3.91
89,03/06/2025,Green,Doors,Rakesh,JLT,LSD,Shutter kit ,0,120,JLT-LSD2-AL-005 & JLT-LSD1-AL-003,PI/01835,50,80,17.39,27.82
90,03/06/2025,Green,Doors,Rakesh,Sobha One,Hinge Door,Outer,0,371,S1(P2)-HD-CL-01A,PI/01999,0,87,0,121.77
91,03/06/2025,Green,Doors,Rakesh,Sobha One,Hinge Door,Shutter,0,371,S1(P2)-HD-CL-01A,PI/01999,40,0,26.44,0
92,03/06/2025,Green,NON-SYSTEM,Ranjith,A10,Shower Partition,Kit,0,165,CRT-10-POD-CL-03,PI012184,60,0,28.98,0
93,03/06/2025,Green,Doors,Rakesh,Sobha One,Hinge Door,Shutter,0,371,S1(P2)-HD-CL-01A,PI/01999,40,0,26.44,0
94,03/06/2025,White,ACP,Mr.JEBY,MS9,Modular ACP,ACP Bracket,Typical,206,POD-ACP-AL-25,PI/01690,0,0,0,0
95,03/06/2025,White,ACP,Mr.JEBY,CVH,Modular ACP,ACP Bracket,Typical,8343,CVH-ACL-BR-AL-018 ,PI/01721,0,0,0,0
96,03/06/2025,White,ACP,Mr.JEBY,CG,Modular ACP,ACP Bracket,Typical,350,TA-MOD-ACL-013 ,PI/01966,0,0,0,0
97,03/06/2025,White,ACP,Mr.VINOTH,CG,Conventional ACP,ACP Clip,Typical,586,TWB-ACP-AL-205,PI/00903,0,0,0,0
98,03/06/2025,White,NON-SYSTEM,Mr.VINOTH,JLT,Flashing,L Angle,Typical,272,JLT-SCW-AL-038 ,PI/01814,30,0,0,0
99,04/06/2025,Blue antartic 1,NON-SYSTEM,Justin Jose,SRV,Roof Louver,VERTICAL LOUVER,0,360,4C-RF-AL-003,PI/01948,10,0,15.3,0
100,04/06/2025,Blue antartic 2,NON-SYSTEM,Justin Jose,SRV,Roof Louver,VERTICAL LOUVER,0,360,4CM-RF-AL-003,PI/01948,24,0,32.1,0
101,04/06/2025,Yellow,NON-SYSTEM,Justin Jose,CG,Fence,Alum Fence,0,52,ALF-002,PI/02052,20,0,46.1,0
102,04/06/2025,Yellow,ACP,Justin Jose,CG,Alum Runner,Aluminium Runner,0,8,TB-VB-ALR-002,PI/01972,8,0,5.3,0
103,04/06/2025,Yellow,NON-SYSTEM,Justin Jose,CVH,Vertical Fin,Podium,0,335,CL-15,PI/02005,1,0,2.9,0
104,04/06/2025,Yellow,NON-SYSTEM,Justin Jose,CVH,Vertical Fin,Podium,0,335,CL-14,PI/02005,7,0,21,0
105,04/06/2025,Yellow,NON-SYSTEM,Justin Jose,CVH,Vertical Fin,Podium,0,335,CL-12,PI/02005,5,0,17.1,0
106,04/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW03-AL-055,PI/01746,7,0,106.88986,0
107,04/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW07A-AL-053,PI/01746,7,0,90.34795,0
108,04/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW03A-AL-057,PI/01746,7,0,106.88986,0
109,04/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW08-AL-059,PI/01746,0,0,0,0
110,04/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW08A-AL-061,PI/01746,0,0,0,0
111,04/06/2025,Navy Blue,WW/SCW,Thangavel,A11,Curtain Wall,Curtain Wall - Frames,0,371,A11-CW03-FS-AL-001,PI/01751,37,0,177.1264,0
112,04/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-126,PI/01851,1,0,22.665291,0
113,04/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-260,PI/01851,1,0,13.273161,0
114,04/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-391,PI/01851,1,0,13.6572975,0
115,04/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-329,PI/01851,1,0,12.69774,0
116,04/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-191,PI/01851,1,0,13.6365075,0
117,04/06/2025,Navy Blue,WW/SCW,Thangavel,CG,Curtain Wall,Curtain Wall - Frames,0,6,CG-ENT-CW-AL-003,PI/01830,0,1,0,28.116
118,04/06/2025,Navy Blue,WW/SCW,Thangavel,CG,Curtain Wall,Curtain Wall - Frames,0,6,CG-ENT-CW-AL-006,PI/01830,0,1,0,5.7019875
119,04/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW05A-AL-045,PI/01746,0,7,0,88.700535
120,04/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,76,S1(P3)-CW-CL-152,PI/01741,0,1,0,19.92140975
121,04/06/2025,Navy Blue,WW/SCW,Thangavel,A11,Curtain Wall,Curtain Wall - Frames,0,371,A11-CW03-FS-AL-001,PI/01751,0,57,0,272.8704
122,04/06/2025,Brown,NON-SYSTEM,Sunner,A07,F Channel,F Channel,0,11,A07-GB-ACL-003 & A07-GB-ACL-004,PI/02132,40,0,44.0352,0
123,04/06/2025,Brown,NON-SYSTEM,Sunner,A07,F Channel,F Channel,0,11,A07-GB-ACL-003 & A07-GB-ACL-004,PI/02132,84,0,92.47392,0
124,04/06/2025,Green,Doors,Rakesh,JLT,LSD,Shutter,0,120,JLT-LSD2-AL-005 & JLT-LSD1-AL-003,PI/01835,21,0,8.21,0
125,04/06/2025,Green,Doors,Rakesh,Sobha One,Hinge Door,Shutter,0,371,S1(P2)-HD-CL-01A,PI/01999,3,0,1.98,0
126,04/06/2025,Green,Doors,Rakesh,A12,Hinge Door,Outer,0,356,A12-HDO-AL-001,PI/02155,46,0,64.38,0
127,04/06/2025,Green,Doors,Rakesh,A10,Hinge Door,Shutter,0,100,A10-HDO-AL-001 & A10-HDO-AL-002,PI/01249,100,0,14.66,0
128,04/06/2025,Green,NON-SYSTEM,Rakesh,A10,Shower Partition,Kit,0,165,CRT-10-POD-CL-03,PI012184,105,0,50.72,0
129,04/06/2025,Green,Doors,Rakesh,Sobha One,Hinge Door,Shutter,0,371,S1(P2)-HD-CL-01A,PI/01999,40,0,26.44,0
130,04/06/2025,White ,ACP,Mr.JEBY,MS9,Modular ACP,ACP Bracket,Typical,206,POD-ACP-AL-25,PI/01690,0,0,0,0
131,04/06/2025,White ,ACP,Mr.JEBY,CVH,Modular ACP,ACP Bracket,Typical,8343,CVH-ACL-BR-AL-018 ,PI/01721,100,0,18.05,0
132,04/06/2025,White ,ACP,Mr.JEBY,CG,Modular ACP,ACP Bracket,Typical,350,TA-MOD-ACL-013 ,PI/01966,0,0,0,0
133,04/06/2025,White ,ACP,Mr.VINOTH,CG,Conventional ACP,ACP Clip,Typical,586,TWB-ACP-AL-205,PI/00903,0,0,0,0
134,04/06/2025,White ,NON-SYSTEM,Mr.VINOTH,Crest,Shower Partition,Profile,Typical,55,CL-245,PI/01861,0,0,0,0
135,05/06/2025,Blue Antartic 1,ACP,Justin Jose,CVH,Modular ACP,ACP Cladding,0,264,TA-VB54-ACL-003,PI/01949,3,0,11.2,0
136,05/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-340,PI/01851,1,0,12.21759,0
137,05/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-345,PI/01851,1,0,13.44578125,0
138,05/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-392,PI/01851,1,0,13.5533475,0
139,05/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-198,PI/01851,1,0,12.734469,0
140,05/06/2025,Navy Blue,WW/SCW,Thangavel,A11,Curtain Wall,Curtain Wall - Frames,0,371,A11-CW02-FS-AL-001,PI/01751,10,0,42.4941,0
141,05/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-175,PI/01851,0,1,0,22.095095
142,05/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,76,S1(P3)-CW-CL-151,PI/01741,0,1,0,17.166435
143,05/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-207,PI/01851,0,1,0,10.21416
144,05/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,76,S1(P2)-CW-CL-148,PI/01741,0,1,0,9.84687
145,05/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,76,S1(P3)-CW-CL-403,PI/01741,0,1,0,13.6365075
146,05/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-211,PI/01851,0,1,0,10.21416
147,05/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-125,PI/01851,0,1,0,12.03312
148,05/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW04A-AL-041,PI/01746,0,7,0,90.4936725
149,05/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW07-AL-051,PI/01746,0,7,0,90.4936725
150,05/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW06A-AL-049,PI/01746,0,7,0,90.4936725
151,05/06/2025,Navy Blue,WW/SCW,Thangavel,A06,Curtain Wall,Curtain Wall - Frames,0,52,A06-CW02A-FS-001,PI/01516,0,10,0,53.2521
152,05/06/2025,Navy Blue,WW/SCW,Thangavel,A06,Curtain Wall,Curtain Wall - Frames,0,52,A06-CW03A-FS-001,PI/01516,0,10,0,55.7568
153,05/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-340,PI/01851,0,1,0,12.21759
154,05/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-345,PI/01851,0,1,0,13.44578125
155,05/06/2025,Brown,NON-SYSTEM,Sunner,A07,F Channel,F Channel,0,11,A07-GB-ACL-003 & A07-GB-ACL-004,PI/02132,79,0,86.96952,0
156,05/06/2025,Green,Doors,Rakesh,JLT,LSD,Shutter,0,258,JLT-LSD1-AL-001A & JLT-LSD2-AL-002,PI/00090,15,20,11.74,15.65
157,05/06/2025,Green,Doors,Rakesh,A12,Hinge Door,Outer,0,356,A12-HDO-AL-001 &A12-HDO-AL-002,PI/02155,73,0,102.17,0
158,06/06/2025,Navy Blue,WW/SCW,Thangavel,A06,Curtain Wall,Curtain Wall - Frames,0,52,A06-CWO4B-FS-AL-001,PI/01516,5,0,34.022175,0
159,06/06/2025,Navy Blue,WW/SCW,Thangavel,CG,Curtain Wall,Curtain Wall - Frames,0,6,CG-ENT-CW-AL-004,PI/01830,1,0,27.944697,0
160,06/06/2025,Navy Blue,WW/SCW,Thangavel,CG,Curtain Wall,Curtain Wall - Frames,0,6,CG-ENT-CW-AL-005,PI/01830,1,0,27.406038,0
161,06/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-165,PI/01851,0,0,0,0
162,06/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-211,PI/01851,0,0,0,0
163,06/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-212,PI/01851,0,0,0,0
164,06/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-196,PI/01851,0,3,0,58.81589175
